step,time,x,y,z,qpos_hip_p_l,qpos_hip_r_l,qpos_hip_y_l,qpos_knee_p_l,qpos_ank_p_l,qpos_ank_r_l,qpos_hip_p_r,qpos_hip_r_r,qpos_hip_y_r,qpos_knee_p_r,qpos_ank_p_r,qpos_ank_r_r,qvel_hip_p_l,qvel_hip_r_l,qvel_hip_y_l,qvel_knee_p_l,qvel_ank_p_l,qvel_ank_r_l,qvel_hip_p_r,qvel_hip_r_r,qvel_hip_y_r,qvel_knee_p_r,qvel_ank_p_r,qvel_ank_r_r,tau_hip_p_l,tau_hip_r_l,tau_hip_y_l,tau_knee_p_l,tau_ank_p_l,tau_ank_r_l,tau_hip_p_r,tau_hip_r_r,tau_hip_y_r,tau_knee_p_r,tau_ank_p_r,tau_ank_r_r,action_hip_p_l,action_hip_r_l,action_hip_y_l,action_knee_p_l,action_ank_p_l,action_ank_r_l,action_hip_p_r,action_hip_r_r,action_hip_y_r,action_knee_p_r,action_ank_p_r,action_ank_r_r,cmd_vx,cmd_vy,cmd_vyaw,fall
0,0.1200,0.0056,-0.0015,0.6500,-0.3810,0.0122,-0.0070,0.8221,-0.4193,-0.0031,-0.3769,0.0092,-0.0085,0.8131,-0.3965,0.0045,-0.2705,0.3585,-0.1505,2.3374,-1.4630,-0.1001,-0.4428,0.1521,-0.2868,2.4366,-1.4153,0.2954,-0.72,27.82,-17.68,-31.57,-11.54,3.66,-8.60,-10.56,1.27,21.33,-10.98,3.85,-0.1936,1.2168,-0.7592,-0.0608,-1.3261,0.2126,-0.5187,-0.3611,-0.0277,1.3337,-1.1902,0.3326,0.50,0.00,0.00,0
1,0.1400,0.0096,-0.0023,0.6462,-0.3810,0.0181,-0.0050,0.8578,-0.4444,-0.0048,-0.3901,0.0097,-0.0079,0.8629,-0.4228,0.0094,0.2133,0.2490,0.2592,1.3749,-1.1076,-0.0762,-0.7077,-0.1330,0.0654,2.3191,-1.2338,0.1861,-2.15,32.42,-23.40,-57.79,-18.96,4.22,-16.00,-9.14,3.71,17.61,-10.05,2.80,-0.1842,1.4078,-0.9215,-0.7265,-1.8605,0.2473,-0.9072,-0.3399,0.1285,1.4170,-1.1965,0.2600,0.50,0.00,0.00,0
2,0.1600,0.0136,-0.0030,0.6429,-0.3784,0.0218,0.0020,0.8828,-0.4653,-0.0063,-0.4078,0.0045,-0.0031,0.8978,-0.4414,0.0156,0.0725,0.1432,0.4146,1.1551,-0.9980,-0.0789,-1.0583,-0.3700,0.2910,1.4688,-0.9022,0.2894,0.07,25.60,-23.41,-46.46,-11.65,1.51,-17.89,-7.82,4.48,10.55,-9.71,2.83,-0.0982,1.1342,-0.8675,-0.3603,-1.4309,0.0607,-1.1020,-0.3477,0.2099,1.2630,-1.1876,0.3070,0.50,0.00,0.00,0
3,0.1800,0.0180,-0.0040,0.6394,-0.3757,0.0245,0.0109,0.9042,-0.4850,-0.0082,-0.4304,-0.0059,-0.0019,0.9216,-0.4584,0.0226,0.2063,0.1319,0.4691,0.9913,-0.9809,-0.1110,-1.2194,-0.5650,0.0250,1.2604,-0.5901,0.1576,9.53,27.64,-26.75,-39.60,-4.89,4.52,-18.82,-7.33,1.11,6.85,-9.06,3.52,0.3061,1.2238,-0.9557,-0.1121,-1.0549,0.2488,-1.2523,-0.3992,0.0456,1.1958,-1.2030,0.3949,0.50,0.00,0.00,0
4,0.2000,0.0235,-0.0058,0.6364,-0.3659,0.0283,0.0190,0.9200,-0.5041,-0.0111,-0.4489,-0.0165,-0.0054,0.9559,-0.4702,0.0254,0.6781,0.2316,0.3618,0.6516,-0.9373,-0.1826,-0.6767,-0.4424,-0.2049,1.6470,-0.4692,0.0692,10.36,23.42,-24.98,-36.70,0.78,5.60,-19.02,-1.09,-2.91,2.31,-10.14,3.77,0.4476,1.0837,-0.8666,-0.0129,-0.7453,0.2949,-1.2629,-0.1774,-0.1663,1.2689,-1.2609,0.3724,0.50,0.00,0.00,0
5,0.2200,0.0302,-0.0083,0.6337,-0.3493,0.0328,0.0258,0.9298,-0.5219,-0.0153,-0.4573,-0.0219,-0.0057,0.9820,-0.4841,0.0272,0.9144,0.2111,0.3070,0.3754,-0.8548,-0.2294,-0.2590,-0.2095,-0.0057,1.0253,-0.6730,0.0675,8.69,15.89,-20.67,-31.53,10.14,4.86,-19.87,2.61,-2.07,-0.14,-9.36,2.10,0.4883,0.8000,-0.6763,0.1276,-0.1766,0.2198,-1.2628,-0.0158,-0.1047,1.2509,-1.3232,0.2847,0.50,0.00,0.00,0
6,0.2400,0.0369,-0.0112,0.6307,-0.3367,0.0361,0.0283,0.9427,-0.5388,-0.0203,-0.4651,-0.0246,-0.0041,1.0084,-0.4967,0.0267,0.5039,0.1497,0.0259,0.7523,-0.8681,-0.2577,-0.3251,-0.1004,0.0902,1.2029,-0.8197,0.1642,9.63,14.70,-14.92,-13.35,28.00,4.21,-18.31,1.90,0.06,-3.86,-10.18,1.80,0.5181,0.7543,-0.4772,0.7077,0.9461,0.1507,-1.2555,-0.0424,-0.0045,1.3267,-1.3523,0.2025,0.50,0.00,0.00,0
7,0.2600,0.0427,-0.0146,0.6272,-0.3518,0.0378,0.0247,0.9978,-0.5335,-0.0261,-0.4731,-0.0265,-0.0013,1.0330,-0.5060,0.0246,-1.2965,0.0472,-0.2144,3.7298,1.0212,-0.2913,-0.1926,-0.0740,0.1916,0.8834,-0.6037,-0.0203,22.27,13.90,-10.12,-0.24,50.00,4.03,-20.01,2.07,1.53,-5.85,-7.96,0.42,0.6968,0.7166,-0.3395,1.6344,2.8204,0.1089,-1.3313,-0.0362,0.0793,1.3132,-1.2903,0.1515,0.50,0.00,0.00,0
8,0.2800,0.0481,-0.0181,0.6237,-0.3936,0.0382,0.0191,1.0961,-0.4906,-0.0322,-0.4767,-0.0246,0.0047,1.0537,-0.5064,0.0213,-2.2766,-0.0119,-0.2575,5.2472,2.8624,-0.3100,-0.0234,0.1276,0.2692,1.0979,-0.1363,-0.2435,19.19,12.79,-9.14,-11.60,43.79,4.44,-19.89,4.01,4.28,-11.78,-5.71,0.42,0.2450,0.6632,-0.3318,1.9343,2.8811,0.1078,-1.3035,0.0821,0.2343,1.2189,-1.0096,0.0668,0.50,0.00,0.00,0
9,0.3000,0.0534,-0.0219,0.6208,-0.4433,0.0362,0.0088,1.2016,-0.4197,-0.0377,-0.4775,-0.0204,0.0095,1.0750,-0.5174,0.0161,-2.3737,-0.1094,-0.5578,4.9354,3.8940,-0.2522,0.0346,0.2802,0.2653,0.9177,-0.7656,-0.2771,11.91,11.11,-11.27,-17.52,26.53,5.81,-18.59,-1.62,10.06,-23.53,3.11,-0.21,-0.2671,0.5721,-0.5019,2.1736,2.2292,0.1878,-1.2523,-0.1070,0.4789,0.9931,-0.6036,-0.0024,0.50,0.00,0.00,0
