step,time,x,y,z,qpos_hip_p_l,qpos_hip_r_l,qpos_hip_y_l,qpos_knee_p_l,qpos_ank_p_l,qpos_ank_r_l,qpos_hip_p_r,qpos_hip_r_r,qpos_hip_y_r,qpos_knee_p_r,qpos_ank_p_r,qpos_ank_r_r,qvel_hip_p_l,qvel_hip_r_l,qvel_hip_y_l,qvel_knee_p_l,qvel_ank_p_l,qvel_ank_r_l,qvel_hip_p_r,qvel_hip_r_r,qvel_hip_y_r,qvel_knee_p_r,qvel_ank_p_r,qvel_ank_r_r,tau_hip_p_l,tau_hip_r_l,tau_hip_y_l,tau_knee_p_l,tau_ank_p_l,tau_ank_r_l,tau_hip_p_r,tau_hip_r_r,tau_hip_y_r,tau_knee_p_r,tau_ank_p_r,tau_ank_r_r,action_hip_p_l,action_hip_r_l,action_hip_y_l,action_knee_p_l,action_ank_p_l,action_ank_r_l,action_hip_p_r,action_hip_r_r,action_hip_y_r,action_knee_p_r,action_ank_p_r,action_ank_r_r,cmd_vx,cmd_vy,cmd_vyaw,fall
0,0.1200,-0.0315,0.0491,0.6843,-0.4672,-0.0304,0.0632,0.7406,-0.3237,0.0862,-0.4092,-0.0158,0.0598,0.5849,-0.2177,0.0793,-0.4861,-0.3042,0.1842,0.2456,0.3808,4.5189,0.0187,-0.1303,0.3409,-0.8002,1.2779,-0.1814,21.90,10.19,-23.94,-7.21,-19.26,-10.08,2.92,17.45,-22.32,35.57,-29.99,2.65,0.3254,0.2173,-0.8071,0.0110,-1.3467,-0.4912,-0.1299,0.6444,-0.6027,0.4040,-1.2060,0.4656,0.50,0.00,0.00,0
1,0.1400,-0.0391,0.0481,0.6817,-0.4912,-0.0345,0.0548,0.7629,-0.3190,0.0926,-0.4191,-0.0167,0.0559,0.5875,-0.2029,0.0721,-0.8892,0.0074,-0.2094,0.4339,1.2950,4.5675,0.0130,0.0661,-0.4130,-0.6769,0.2148,-0.4652,17.91,26.21,-15.72,-11.24,-19.07,-11.40,2.36,7.87,-17.19,33.85,-28.79,3.64,-0.0429,0.8300,-0.5700,0.1051,-1.0671,-0.2586,-0.3131,0.2109,-0.5815,0.6268,-1.2842,0.4411,0.50,0.00,0.00,0
2,0.1600,-0.0470,0.0472,0.6787,-0.5145,-0.0405,0.0383,0.7869,-0.3076,0.0806,-0.4350,-0.0169,0.0457,0.6094,-0.2101,0.0741,-1.1561,-1.1319,-1.5113,1.2171,1.2478,-0.1003,-0.9976,-0.5758,-0.8353,1.9257,-0.5068,0.0291,21.86,28.16,0.07,-28.79,-29.89,19.60,-7.37,-3.24,-16.44,44.88,-25.32,1.05,-0.0169,0.7530,-0.2587,-0.2645,-1.4357,-0.1377,-0.6627,-0.2412,-0.5753,0.8348,-1.2182,0.3804,0.50,0.00,0.00,0
3,0.1800,-0.0556,0.0460,0.6754,-0.5391,-0.0393,0.0341,0.8109,-0.3073,0.0767,-0.4528,-0.0151,0.0376,0.6273,-0.2126,0.0668,-1.0858,0.4080,0.4113,0.6270,0.4005,-0.3934,-0.7166,0.2662,-0.0595,0.0291,0.0538,-0.6500,22.44,30.50,3.06,-47.23,-23.58,30.02,-19.41,-7.60,-13.46,32.48,-21.28,1.76,-0.2023,1.0040,0.1827,-0.4803,-1.6187,0.4519,-1.4031,-0.4093,-0.4496,0.7875,-0.8632,0.2654,0.50,0.00,0.00,0
4,0.2000,-0.0643,0.0458,0.6721,-0.5600,-0.0383,0.0359,0.8319,-0.3046,0.0947,-0.4747,-0.0123,0.0371,0.6519,-0.2130,0.0634,-0.3750,0.5432,0.5740,-0.1236,1.0286,5.2600,-0.3643,0.4000,0.0073,-0.1127,0.2771,-0.0112,8.45,30.98,-9.21,-40.49,-23.32,-14.03,9.00,-3.64,-10.38,25.82,-27.21,1.54,-0.6810,0.9368,-0.3383,-0.3295,-1.3866,0.0589,-0.3924,-0.2644,-0.2996,0.8910,-1.1806,0.3088,0.50,0.00,0.00,0
5,0.2200,-0.0712,0.0454,0.6689,-0.5703,-0.0417,0.0328,0.8531,-0.3016,0.0980,-0.4820,-0.0138,0.0326,0.6717,-0.2058,0.0642,-0.2989,-0.7818,-0.5211,1.3145,0.4879,4.7697,-0.4227,-0.5671,-0.4693,2.0606,0.2173,-0.1456,-1.34,20.70,-10.57,-40.80,-25.66,-20.47,12.65,-0.33,-10.21,41.21,-28.13,0.27,-0.9158,0.6847,-0.2247,-0.4649,-1.2997,-0.2087,0.0517,-0.0629,-0.2806,0.9259,-1.2234,0.2506,0.50,0.00,0.00,0
6,0.2400,-0.0788,0.0454,0.6657,-0.5796,-0.0393,0.0420,0.8712,-0.2964,0.0940,-0.4945,-0.0136,0.0345,0.6930,-0.2074,0.0618,-0.2282,0.5739,1.0841,0.7171,-0.4784,1.5550,-1.0333,0.4993,0.8829,1.3226,0.2923,-0.2546,3.12,32.48,-7.78,-45.90,-31.03,-13.68,-12.15,-10.60,-9.50,42.25,-24.86,0.81,-0.8145,1.2361,0.0406,-0.5573,-1.6565,0.2320,-1.1335,-0.4230,-0.1495,1.1129,-1.0990,0.2702,0.50,0.00,0.00,0
7,0.2600,-0.0872,0.0449,0.6619,-0.5969,-0.0373,0.0469,0.8949,-0.2955,0.0899,-0.5164,-0.0103,0.0392,0.7237,-0.2022,0.0605,-1.0306,-0.6854,-0.4306,1.8659,0.1762,3.4996,-1.2630,-0.4089,-0.2019,2.6994,0.3870,-0.2518,-10.86,21.72,-14.66,-43.20,-30.15,-9.38,8.00,-1.40,-12.98,40.65,-29.57,1.02,-1.5076,0.8562,-0.3130,-0.3447,-1.6551,-0.1297,-0.3839,0.0251,-0.3180,1.1104,-1.2679,0.2628,0.50,0.00,0.00,0
8,0.2800,-0.0968,0.0426,0.6571,-0.6262,-0.0365,0.0432,0.9251,-0.2925,0.0780,-0.5420,-0.0053,0.0398,0.7497,-0.1975,0.0576,-1.6294,-0.2724,-0.4330,1.7586,0.1461,0.2588,-1.6828,0.0477,-0.1154,2.1883,0.1322,-0.2613,4.75,33.96,-2.36,-61.34,-31.73,15.84,-8.50,-4.10,-6.64,42.74,-25.31,-0.14,-1.2340,1.2389,0.0234,-0.4798,-1.8690,0.2176,-1.3079,-0.1439,-0.1218,1.4687,-1.0430,0.1773,0.50,0.00,0.00,0
9,0.3000,-0.1065,0.0407,0.6519,-0.6551,-0.0361,0.0415,0.9556,-0.2896,0.0779,-0.5698,-0.0004,0.0424,0.7797,-0.1970,0.0540,-1.1841,-0.2450,-0.3576,1.6136,0.1972,0.2678,-1.2641,0.0497,-0.0879,2.1250,-0.0847,-0.1205,10.70,37.31,-4.98,-59.55,-30.35,17.57,-1.26,-13.57,-5.73,41.88,-25.29,0.27,-1.0586,1.3868,-0.0788,-0.3298,-1.7982,0.3205,-1.0836,-0.4936,-0.0685,1.5566,-1.0860,0.2174,0.50,0.00,0.00,0
